Topic 0,hst,shuttle,mission,pat,design
Topic 1,even,time,good,large,high
Topic 2,bill,moon,support,people,blah
Topic 3,space,science,internet,world,sci
Topic 4,car,clutch,shifter,sho,mph
Topic 5,power,question,long,engines,such
Topic 6,edu,writes,article,apr,eliot
Topic 7,manual,cars,speed,shift,find
Topic 8,edu,gif,uci,ics,incoming
Topic 9,cars,book,car,dealer,price
Topic 10,car,ford,mustang,probe,rear
Topic 11,don,engine,driving,low,toyota
Topic 12,etc,day,point,mass,saturn
Topic 13,oil,engine,turbo,come,service
Topic 14,sky,earth,temperature,things,life
Topic 15,edu,writes,insurance,article,uiuc
Topic 16,henry,edu,toronto,spencer,writes
Topic 17,don,two,money,make,people
Topic 18,nasa,gov,mission,orbit,spacecraft
Topic 19,space,station,option,shuttle,nasa
